Region Abbreviation,Region Name,Tax Year,BracketNo,Starting Income,Ending Income,Tax Rate,Base Tax Amount
CAN,Canada,2018,1,0,46605,0.15,0.00
CAN,Canada,2018,2,46605,93208,0.21,6990.75
CAN,Canada,2018,3,93208,144489,0.26,16544.37
CAN,Canada,2018,4,144489,205842,0.29,29877.43
CAN,Canada,2018,5,205842,,0.33,47669.80
BC,British Columbia,2018,1,0,39676,0.05,0.00
BC,British Columbia,2018,2,39676,79353,0.08,2007.61
BC,British Columbia,2018,3,79353,91107,0.11,5062.74
BC,British Columbia,2018,4,91107,110630,0.12,6296.91
BC,British Columbia,2018,5,110630,150000,0.15,8696.29
BC,British Columbia,2018,6,150000,,0.17,14483.68
AB,Alberta,2018,1,0,128145,0.10,0.00
AB,Alberta,2018,2,128145,153773,0.12,12814.50
AB,Alberta,2018,3,153773,205031,0.13,15889.86
AB,Alberta,2018,4,205031,307547,0.14,22553.40
AB,Alberta,2018,5,307547,,0.15,36905.64
SK,Saskatchewan,2018,1,0,45225,0.11,0.00
SK,Saskatchewan,2018,2,45225,129214,0.13,4748.63
SK,Saskatchewan,2018,3,129214,,0.15,15247.26
MB,Manitoba,2018,1,0,31843,0.11,0.00
MB,Manitoba,2018,2,31843,68821,0.13,3439.04
MB,Manitoba,2018,3,68821,,0.17,8153.74
ON,Ontario,2018,1,0,42960,0.05,0.00
ON,Ontario,2018,2,42960,85923,0.09,2169.48
ON,Ontario,2018,3,85923,150000,0.11,6100.59
ON,Ontario,2018,4,150000,220000,0.12,13251.58
ON,Ontario,2018,5,220000,,0.13,21763.58
QC,Québec,2018,1,0,43055,0.15,0.00
QC,Québec,2018,2,43055,86105,0.20,6458.25
QC,Québec,2018,3,86105,104765,0.24,15068.25
QC,Québec,2018,4,104765,,0.26,19546.65
NB,New Brunswick,2018,1,0,41675,0.10,0.00
NB,New Brunswick,2018,2,41675,83351,0.15,4034.14
NB,New Brunswick,2018,3,83351,135510,0.17,10210.52
NB,New Brunswick,2018,4,135510,154382,0.18,18827.19
NB,New Brunswick,2018,5,154382,,0.20,22193.95
NS,Nova Scotia,2018,1,0,29590,0.09,0.00
NS,Nova Scotia,2018,2,29590,59180,0.15,2600.96
NS,Nova Scotia,2018,3,59180,93000,0.17,7024.67
NS,Nova Scotia,2018,4,93000,150000,0.18,12662.46
NS,Nova Scotia,2018,5,150000,,0.21,22637.46
PE,Prince Edward Island,2018,1,0,31984,0.10,0.00
PE,Prince Edward Island,2018,2,31984,63969,0.14,3134.43
PE,Prince Edward Island,2018,3,63969,,0.17,7548.36
NL,Newfoundland & Labador,2018,1,0,36927,0.09,0.00
NL,Newfoundland & Labador,2018,2,36927,73852,0.15,3212.65
NL,Newfoundland & Labador,2018,3,73852,131850,0.16,8566.78
NL,Newfoundland & Labador,2018,4,131850,184590,0.17,17730.46
NL,Newfoundland & Labador,2018,5,184590,,0.18,26854.48
YT,Yukon,2018,1,0,46605,0.06,0.00
YT,Yukon,2018,2,46605,93208,0.09,2982.72
YT,Yukon,2018,3,93208,144488,0.11,7176.99
YT,Yukon,2018,4,144488,500000,0.13,12766.51
YT,Yukon,2018,5,500000,,0.15,58272.05
NT,Northwest Territories,2018,1,0,42209,0.06,0.00
NT,Northwest Territories,2018,2,42209,84420,0.09,2490.33
NT,Northwest Territories,2018,3,84420,137247,0.12,6120.48
NT,Northwest Territories,2018,4,137247,,0.14,12565.37
NU,Nunavut,2018,1,0,44437,0.04,0.00
NU,Nunavut,2018,2,44437,88874,0.07,1777.48
NU,Nunavut,2018,3,88874,144488,0.09,4888.07
NU,Nunavut,2018,4,144488,,0.12,9893.33
CAN,Canada,2017,1,0,45916,0.15,0.00
CAN,Canada,2017,2,45916,91831,0.21,6887.40
CAN,Canada,2017,3,91831,142353,0.26,16299.98
CAN,Canada,2017,4,142353,202800,0.29,29435.70
CAN,Canada,2017,5,202800,,0.33,46965.33
BC,British Columbia,2017,1,0,38898,0.05,0.00
BC,British Columbia,2017,2,38898,77977,0.08,1968.24
BC,British Columbia,2017,3,77977,89320,0.11,4977.32
BC,British Columbia,2017,4,89320,108460,0.12,6168.34
BC,British Columbia,2017,5,108460,,0.15,8520.65
AB,Alberta,2017,1,0,126625,0.10,0.00
AB,Alberta,2017,2,126625,151950,0.12,12662.50
AB,Alberta,2017,3,151950,202600,0.13,15701.50
AB,Alberta,2017,4,202600,303900,0.14,22286.00
AB,Alberta,2017,5,303900,,0.15,36468.00
SK,Saskatchewan,2017,1,0,45225,0.11,0.00
SK,Saskatchewan,2017,2,45225,129214,0.13,4861.69
SK,Saskatchewan,2017,3,129214,,0.17,15570.29
MB,Manitoba,2017,1,0,31465,0.11,0.00
MB,Manitoba,2017,2,31465,68005,0.13,3398.22
MB,Manitoba,2017,3,68005,,0.17,8057.07
ON,Ontario,2017,1,0,42201,0.05,0.00
ON,Ontario,2017,2,42201,84404,0.09,2131.15
ON,Ontario,2017,3,84404,150000,0.11,5992.72
ON,Ontario,2017,4,150000,220000,0.12,13313.23
ON,Ontario,2017,5,220000,,0.13,21825.23
QC,Québec,2017,1,0,42705,0.16,0.00
QC,Québec,2017,2,42705,85405,0.20,6832.80
QC,Québec,2017,3,85405,103915,0.24,15372.80
QC,Québec,2017,4,103915,,0.26,19815.20
NB,New Brunswick,2017,1,0,41059,0.10,0.00
NB,New Brunswick,2017,2,41059,82119,0.15,3974.51
NB,New Brunswick,2017,3,82119,133507,0.17,10059.60
NB,New Brunswick,2017,4,133507,152100,0.18,18548.90
NB,New Brunswick,2017,5,152100,,0.20,21865.89
NS,Nova Scotia,2017,1,0,29590,0.09,0.00
NS,Nova Scotia,2017,2,29590,59180,0.15,2600.96
NS,Nova Scotia,2017,3,59180,93000,0.17,7024.67
NS,Nova Scotia,2017,4,93000,150000,0.18,12662.46
NS,Nova Scotia,2017,5,150000,,0.21,22637.46
PE,Prince Edward Island,2017,1,0,31984,0.10,0.00
PE,Prince Edward Island,2017,2,31984,63969,0.14,3134.43
PE,Prince Edward Island,2017,3,63969,,0.17,7548.36
NL,Newfoundland & Labador,2017,1,0,35851,0.09,0.00
NL,Newfoundland & Labador,2017,2,35851,71701,0.15,3119.04
NL,Newfoundland & Labador,2017,3,71701,128010,0.16,8317.29
NL,Newfoundland & Labador,2017,4,128010,179214,0.17,17214.11
NL,Newfoundland & Labador,2017,5,179214,,0.18,26072.40
YT,Yukon,2017,1,0,45916,0.06,0.00
YT,Yukon,2017,2,45916,91831,0.09,2938.62
YT,Yukon,2017,3,91831,142353,0.11,7070.97
YT,Yukon,2017,4,142353,500000,0.13,12577.87
YT,Yukon,2017,5,500000,,0.15,58356.69
NT,Northwest Territories,2017,1,0,41585,0.06,0.00
NT,Northwest Territories,2017,2,41585,83172,0.09,2453.52
NT,Northwest Territories,2017,3,83172,135219,0.12,6030.00
NT,Northwest Territories,2017,4,135219,,0.14,12379.73
NU,Nunavut,2017,1,0,43780,0.04,0.00
NU,Nunavut,2017,2,43780,87560,0.07,1751.20
NU,Nunavut,2017,3,87560,142353,0.09,4815.80
NU,Nunavut,2017,4,142353,,0.12,9747.17
CAN,Canada,2016,1,0,45282,0.15,0.00
CAN,Canada,2016,2,45282,90563,0.21,6792.30
CAN,Canada,2016,3,90563,140388,0.26,16074.91
CAN,Canada,2016,4,140388,200000,0.29,29029.41
CAN,Canada,2016,5,200000,,0.33,46316.89
BC,British Columbia,2016,1,0,38210,0.05,0.00
BC,British Columbia,2016,2,38210,76421,0.08,1933.43
BC,British Columbia,2016,3,76421,87741,0.11,4875.68
BC,British Columbia,2016,4,87741,106543,0.12,6064.28
BC,British Columbia,2016,5,106543,,0.15,8375.05
AB,British Columbia,2016,1,0,125000,0.10,0.00
AB,Alberta,2016,2,125000,150000,0.12,12500.00
AB,Alberta,2016,3,150000,200000,0.13,15500.00
AB,Alberta,2016,4,200000,300000,0.14,22000.00
AB,Alberta,2016,5,300000,,0.15,36000.00
SK,Saskatchewan,2016,1,0,44601,0.11,0.00
SK,Saskatchewan,2016,2,44601,127430,0.13,4906.11
SK,Saskatchewan,2016,3,127430,,0.15,15673.88
MB,Manitoba,2016,1,0,31000,0.11,0.00
MB,Manitoba,2016,2,31000,67000,0.13,3348.00
MB,Manitoba,2016,3,67000,,0.17,7938.00
ON,Ontario,2016,1,0,41536,0.05,0.00
ON,Ontario,2016,2,41536,83075,0.09,2097.57
ON,Ontario,2016,3,83075,150000,0.11,5898.39
ON,Ontario,2016,4,150000,220000,0.12,13367.22
ON,Ontario,2016,5,220000,,0.13,21879.22
QC,Ontario,2016,1,0,42390,0.16,0.00
QC,Québec,2016,2,42390,84780,0.20,6782.40
QC,Québec,2016,3,84780,103150,0.24,15260.40
QC,Québec,2016,4,103150,,0.26,19669.20
NB,New Brunswick,2016,1,0,40492,0.10,0.00
NB,New Brunswick,2016,2,40492,80985,0.15,3919.63
NB,New Brunswick,2016,3,80985,131664,0.17,9920.69
NB,New Brunswick,2016,4,131664,150000,0.18,18292.86
NB,New Brunswick,2016,5,150000,,0.20,21564.00
NS,Nova Scotia,2016,1,0,29590,0.09,0.00
NS,Nova Scotia,2016,2,29590,59180,0.15,2600.96
NS,Nova Scotia,2016,3,59180,93000,0.17,7024.67
NS,Nova Scotia,2016,4,93000,150000,0.18,12662.46
NS,Nova Scotia,2016,5,150000,,0.21,22637.46
PE,Prince Edward Island,2016,1,0,31984,0.10,0.00
PE,Prince Edward Island,2016,2,31984,63969,0.14,3134.43
PE,Prince Edward Island,2016,3,63969,,0.17,7548.36
NL,Newfoundland & Labador,2016,1,0,35148,0.08,0.00
NL,Newfoundland & Labador,2016,2,35148,70295,0.14,2882.14
NL,Newfoundland & Labador,2016,3,70295,125000,0.15,7626.99
NL,Newfoundland & Labador,2016,4,125000,175700,0.16,15586.57
NL,Newfoundland & Labador,2016,5,175700,,0.17,23597.17
YT,Yukon,2016,1,0,45282,0.06,0.00
YT,Yukon,2016,2,45282,90563,0.09,2898.05
